fraudulent,customerEmail,customerPhone,customerDevice,customerIPAddress,customerBillingAddress,username,domain,is_popular_domain,is_disposal_domain,valid_email,base_phone_number,extention_phone_number,has_extention_phone_number,is_foreign_number,ip_country_code,is_foreign_ip,IPv4,order_count,unique_order_locations,locations_per_order_ratio,avg_order_amount,min_order_amount,max_order_amount,sum_order_amount,fulfilled_order_count,pending_order_count,failed_order_count,address_mismatch_ratio,payment_method_type_unique_count,payment_method_provider_unique_count,payment_method_issuer_unique_count,paymentMethodRegistrationFailure,apple pay,bitcoin,card,paypal,American Express,Diners Club / Carte Blanche,Discover,JCB 15 digit,JCB 16 digit,Maestro,Mastercard,VISA 13 digit,VISA 16 digit,Voyager,Bastion Banks,Bulwark Trust Corp.,Citizens First Banks,Fountain Financial Inc.,Grand Credit Corporation,Her Majesty Trust,His Majesty Bank Corp.,Rose Bancshares,Solace Banks,Vertex Bancorp,other_methods,transactions_count,failed_transactions_count,failed_transactions_ratio
False,josephhoward@yahoo.com,400-108-5415,yyeiaxpltf82440jnb3v,8.129.104.40,"5493 Jones Islands
Brownside, CA 51896",josephhoward,yahoo.com,True,False,1,400-108-5415,,0,0,,-1,-1,2,1,0.5,22.0,18.0,26.0,44.0,1.0,1.0,,0.0,1,1,1,1.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,0.0
True,evansjeffery@yahoo.com,1-788-091-7546,r0jpm7xaeqqa3kr6mzum,219.173.211.202,"356 Elizabeth Inlet Suite 120
Port Joshuabury, NM 37681",evansjeffery,yahoo.com,True,False,1,1-788-091-7546,,0,0,,-1,-1,3,3,1.0,37.0,23.0,45.0,111.0,3.0,,,0.6666666666666666,2,6,6,1.0,0,2,5,0,1,1,0,0,1,1,1,0,2,0,1,0,0,1,0,1,1,0,1,2,0,3,1.0,0.3333333333333333
False,andersonwilliam@yahoo.com,024.420.0375,4m7h5ipl1shyavt6vv2r,67b7:3db8:67e0:3bea:b9d0:90c1:2b60:b9f0,"8478 Sean Ridges Apt. 441
Davisberg, PR 72250",andersonwilliam,yahoo.com,True,False,1,024.420.0375,,0,0,,-1,-1,3,2,0.6666666666666666,27.333333333333332,24.0,33.0,82.0,2.0,,1.0,0.3333333333333333,1,2,2,0.0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,5,2.0,0.4
False,rubenjuarez@yahoo.com,670.664.8168x94985,slovx60t0i558may4ks0,95de:8565:5a66:792c:26e0:6cfb:7d87:11af,"7769 Elizabeth Bridge Apt. 343
Nortonstad, FM 51359",rubenjuarez,yahoo.com,True,False,1,670.664.8168,94985,1,0,,-1,-1,3,2,0.6666666666666666,28.333333333333332,25.0,34.0,85.0,3.0,,,0.3333333333333333,1,1,1,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3,0.0,0.0
True,uchen@malone.com,1-981-877-0870,j0pd24k5h8dl2fqu0cz4,196.89.235.192,"148 Russell Lodge Apt. 445
Port Jenniferside, TN 60556-0871",uchen,malone.com,False,False,1,1-981-877-0870,,0,0,,-1,-1,7,2,0.2857142857142857,58.714285714285715,32.0,71.0,411.0,6.0,,1.0,0.14285714285714285,2,4,4,0.0,3,0,3,0,1,0,0,0,3,0,0,1,1,0,1,0,0,0,2,0,2,0,1,0,0,7,2.0,0.2857142857142857
True,robinsoncynthia@dunn.com,+65(5)8997489788,hbww39m1wenbq4ymjhsx,43.166.163.164,"65233 Hutchinson Mountains
Martinezside, OR 75588",robinsoncynthia,dunn.com,False,False,1,+65(5)8997489788,,0,1,,-1,-1,1,1,1.0,25.0,25.0,25.0,25.0,,1.0,,1.0,2,2,2,0.0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0.0,0.0
True,samuel15@saunders-rhodes.com,05045239487,up7afvce5v0omniqlevq,33.67.35.30,"3960 Emily Fort
Staceytown, AR 21817-3325",samuel15,saunders-rhodes.com,False,False,1,05045239487,,0,0,,-1,-1,1,1,1.0,40.0,40.0,40.0,40.0,1.0,,,1.0,2,2,2,0.0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1.0,0.5
True,johnlowery@gmail.com,044-642-9860,rjb0adai34izqvys4938,212.144.68.190,"484 Pamela Pass
Lake Jessicaview, WI 12942-9074",johnlowery,gmail.com,True,False,1,044-642-9860,,0,0,,-1,-1,5,2,0.4,59.6,36.0,74.0,298.0,4.0,,1.0,0.2,2,2,2,0.0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,6,2.0,0.3333333333333333
False,jameslandry@rodriguez.com,1-885-168-1310x338,yz4l2bgbvzra5eb5qcan,c899:ff67:6864:4365:def3:3023:655f:5181,"USNS Price
FPO AE 14661",jameslandry,rodriguez.com,False,False,1,1-885-168-1310,338,1,0,,-1,-1,2,1,0.5,23.0,21.0,25.0,46.0,1.0,1.0,,0.0,1,1,1,0.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,3.0,0.6
True,ubranch@rivera-parker.info,(772)964-8162x6310,6mpx027neyz6sh04n3ue,86.16.65.228,"6974 Robertson Common Apt. 902
Port Juanside, ID 80590-9633",ubranch,rivera-parker.info,False,False,1,(772)964-8162,6310,1,0,,-1,-1,0,0,,,,,0.0,,,,,1,1,1,0.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1.0,-inf
